Year,Creek,Branch,Transect,TSA,SSA,Sp,Ds,Jg,Tm,Ap,Sd,LC,IF,Water,Mud,Dead
2003,SW,Left,1,8.911,2.422,50.867,30.978,1.822,0.000,0.033,0.000,NA,NA,NA,NA,NA
2003,SW,Left,3,2.174,3.793,41.522,43.652,0.000,0.217,1.261,0.000,NA,NA,NA,NA,NA
2003,SW,Right,1,10.043,9.413,58.500,13.152,1.717,0.000,0.109,0.000,NA,NA,NA,NA,NA
2003,SW,Right,2,3.022,29.804,37.674,17.870,0.000,0.000,0.163,0.152,NA,NA,NA,NA,NA
2004,SW,Left,1,4.636,2.400,68.945,13.282,0.000,0.555,0.173,0.000,NA,NA,NA,NA,NA
2004,SW,Left,2,1.296,5.491,60.833,17.250,0.000,2.370,0.509,0.046,NA,NA,NA,NA,NA
2004,SW,Left,3,0.472,5.407,70.185,12.176,0.000,2.111,0.056,0.000,NA,NA,NA,NA,NA
2004,SW,Right,1,4.375,5.688,71.250,3.214,0.000,1.018,0.232,0.000,NA,NA,NA,NA,NA
2004,SW,Right,2,1.818,17.627,60.736,4.518,0.009,0.091,0.673,0.000,NA,NA,NA,NA,NA
2004,SW,Right,3,2.685,44.361,30.296,2.944,0.000,0.398,1.231,0.000,NA,NA,NA,NA,NA
2005,SW,Left,1,4.375,1.973,67.911,10.625,0.268,0.000,1.205,0.071,NA,NA,NA,NA,NA
2005,SW,Left,2,0.000,8.824,81.078,6.784,0.000,0.000,1.049,0.108,NA,NA,NA,NA,NA
2005,SW,Left,3,2.222,5.454,79.852,4.833,0.000,0.000,3.111,0.130,NA,NA,NA,NA,NA
2005,SW,Right,1,4.643,4.268,81.714,4.259,0.000,0.089,0.518,0.107,NA,NA,NA,NA,NA
2005,SW,Right,2,5.089,22.098,60.170,5.411,0.000,0.000,0.098,0.054,NA,NA,NA,NA,NA
2005,SW,Right,3,3.571,51.482,36.170,0.634,0.000,0.000,0.741,0.991,NA,NA,NA,NA,NA
2006,SW,Left,1,6.690,2.724,53.069,30.086,1.138,0.000,0.069,0.000,NA,NA,NA,NA,NA
2006,SW,Left,2,1.786,12.125,59.161,20.589,0.000,0.000,0.077,0.000,NA,NA,NA,NA,NA
2006,SW,Left,3,1.286,8.788,57.089,25.857,0.000,0.000,0.096,0.000,NA,NA,NA,NA,NA
2006,SW,Right,1,4.107,8.946,67.143,13.232,0.000,0.196,0.196,0.000,NA,NA,NA,NA,NA
2006,SW,Right,2,4.911,26.411,50.768,11.982,0.000,0.000,0.009,0.018,NA,NA,NA,NA,NA
